Record Length,16384
Sample Interval,CH1:0.0400000000000 CH2:0.0400000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,50.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-310.35997500000,-0.36000,0.00
-310.32000000000,-0.36400,0.00
-310.28000000000,-0.35600,0.00
-310.24000000000,-0.35600,0.00
-310.20000000000,-0.35600,0.00
-310.16000000000,-0.35600,0.00
-310.12000000000,-0.36000,0.00
-310.07997500000,-0.36800,0.00
-310.04000000000,-0.36400,0.00
-310.00000000000,-0.36800,0.00
-309.96000000000,-0.36400,0.00
-309.92002500000,-0.36400,0.00
-309.88000000000,-0.36400,0.00
-309.84000000000,-0.35600,0.00
-309.80000000000,-0.36400,0.00
-309.76000000000,-0.36400,0.00
-309.72000000000,-0.35600,0.00
-309.68000000000,-0.35200,0.00
-309.64002500000,-0.34800,0.00
-309.60000000000,-0.35200,0.00
-309.56000000000,-0.35200,0.00
-309.52000000000,-0.35600,0.00
-309.48000000000,-0.36000,0.00
-309.44000000000,-0.35600,0.00
-309.40000000000,-0.35600,0.00
-309.35997500000,-0.36400,0.00
-309.32000000000,-0.36400,-0.04000
-309.28000000000,-0.35600,0.00
-309.24000000000,-0.35200,0.00
-309.20000000000,-0.36000,0.00
-309.16000000000,-0.35600,0.00
-309.12000000000,-0.36000,0.00
-309.07997500000,-0.35600,0.00
-309.04000000000,-0.36400,0.00
-309.00000000000,-0.36000,0.00
-308.96000000000,-0.35600,0.00
-308.92002500000,-0.36400,0.00
-308.88000000000,-0.36000,0.00
-308.84000000000,-0.35600,0.00
-308.80000000000,-0.35600,0.00
-308.76000000000,-0.35600,0.00
-308.72000000000,-0.36000,0.00
-308.68000000000,-0.36000,0.00
-308.64002500000,-0.35600,0.00
-308.60000000000,-0.35600,0.00
-308.56000000000,-0.35200,0.00
-308.52000000000,-0.35600,0.00
-308.48000000000,-0.35600,0.00
-308.44000000000,-0.35600,0.00
-308.40000000000,-0.35600,0.00
-308.35997500000,-0.35200,0.00
-308.32000000000,-0.36400,0.00
-308.28000000000,-0.35600,0.00
-308.24000000000,-0.36000,0.00
-308.20000000000,-0.35600,0.00
-308.16000000000,-0.35600,0.00
-308.12000000000,-0.36400,0.00
-308.07997500000,-0.36000,0.00
-308.04000000000,-0.36400,0.00
-308.00000000000,-0.35600,0.00
-307.96000000000,-0.36400,0.00
-307.92002500000,-0.36400,0.00
-307.88000000000,-0.35600,0.00
-307.84000000000,-0.35600,0.00
-307.80000000000,-0.36400,0.00
-307.76000000000,-0.35600,0.00
-307.72000000000,-0.35600,0.00
-307.68000000000,-0.35200,0.00
-307.64002500000,-0.35200,0.00
-307.60000000000,-0.35200,0.00
-307.56000000000,-0.35200,0.00
-307.52000000000,-0.35600,0.00
-307.48000000000,-0.36000,0.00
-307.44000000000,-0.35200,-0.04000
-307.40000000000,-0.36000,0.00
-307.35997500000,-0.36800,0.00
-307.32000000000,-0.35600,0.00
-307.28000000000,-0.36000,0.00
-307.24000000000,-0.35600,0.00
-307.20000000000,-0.35200,0.00
-307.16000000000,-0.36000,0.00
-307.12000000000,-0.36800,0.00
-307.07997500000,-0.36400,0.00
-307.04000000000,-0.36800,0.00
-307.00000000000,-0.36800,0.00
-306.96000000000,-0.36400,0.00
-306.92002500000,-0.36400,0.00
-306.88000000000,-0.36000,0.00
-306.84000000000,-0.35200,0.00
-306.80000000000,-0.35600,0.00
-306.76000000000,-0.36000,0.00
-306.72000000000,-0.36000,0.00
-306.68000000000,-0.35200,0.00
-306.64002500000,-0.35200,0.00
-306.60000000000,-0.35200,0.00
-306.56000000000,-0.35600,0.00
-306.52000000000,-0.35600,0.00
-306.48000000000,-0.36000,0.00
-306.44000000000,-0.36000,0.00
-306.40000000000,-0.35600,0.00
-306.35997500000,-0.35600,0.00
-306.32000000000,-0.35600,0.00
-306.28000000000,-0.35600,0.00
-306.24000000000,-0.36400,0.00
-306.20000000000,-0.36400,0.00
-306.16000000000,-0.35600,0.00
-306.12000000000,-0.36800,0.00
-306.07997500000,-0.36400,0.00
-306.04000000000,-0.35600,0.00
-306.00000000000,-0.35200,0.00
-305.96000000000,-0.36800,0.00
-305.92002500000,-0.36000,0.00
-305.88000000000,-0.36000,0.00
-305.84000000000,-0.35600,0.00
-305.80000000000,-0.35600,0.00
-305.76000000000,-0.35200,0.00
-305.72000000000,-0.36000,0.00
-305.68000000000,-0.36000,0.00
-305.64002500000,-0.35200,0.00
-305.60000000000,-0.35200,0.00
-305.56000000000,-0.36000,0.00
-305.52000000000,-0.36400,0.00
-305.48000000000,-0.36400,0.00
-305.44000000000,-0.35200,0.00
-305.40000000000,-0.36400,0.00
-305.35997500000,-0.35600,0.00
-305.32000000000,-0.35600,0.00
-305.28000000000,-0.36400,0.00
-305.24000000000,-0.35600,0.00
-305.20000000000,-0.36000,0.00
-305.16000000000,-0.36400,0.00
-305.12000000000,-0.36800,0.00
-305.07997500000,-0.36000,0.00
-305.04000000000,-0.36800,0.00
-305.00000000000,-0.36800,0.00
-304.96000000000,-0.36800,-0.04000
-304.92002500000,-0.35600,0.00
-304.88000000000,-0.36000,0.00
-304.84000000000,-0.35200,0.00
-304.80000000000,-0.35600,0.00
-304.76000000000,-0.36400,0.00
-304.72000000000,-0.36000,0.00
-304.68000000000,-0.36000,0.00
-304.64002500000,-0.35200,0.00
-304.60000000000,-0.36000,0.00
