Record Length,16384
Sample Interval,CH1:0.0000800000063 CH2:0.0000800000063
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,0.1000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-0.65024000000,-0.36400,0.00
-0.65016000000,-0.36400,0.00
-0.65008000000,-0.36400,0.00
-0.65000000000,-0.36400,0.00
-0.64992000000,-0.36400,0.00
-0.64984000000,-0.36400,0.00
-0.64976000000,-0.36800,0.00
-0.64968000000,-0.36400,0.00
-0.64960000000,-0.36800,0.00
-0.64952000000,-0.36400,0.00
-0.64944000000,-0.36400,0.00
-0.64936000000,-0.36400,0.00
-0.64928000000,-0.36400,0.00
-0.64920000000,-0.36800,0.00
-0.64912000000,-0.36400,0.00
-0.64904000000,-0.36400,0.00
-0.64896000000,-0.36400,0.00
-0.64888000000,-0.35600,0.00
-0.64880000000,-0.36400,0.00
-0.64872000000,-0.36800,0.00
-0.64864000000,-0.36400,0.00
-0.64856000000,-0.36400,0.00
-0.64848000000,-0.36400,0.00
-0.64840000000,-0.36400,0.00
-0.64832000000,-0.36800,0.00
-0.64824000000,-0.36400,0.00
-0.64816000000,-0.36800,0.00
-0.64808000000,-0.36800,0.00
-0.64800000000,-0.36400,0.00
-0.64792006250,-0.36800,0.00
-0.64784006250,-0.36400,0.00
-0.64776006250,-0.36800,0.00
-0.64768006250,-0.36800,0.00
-0.64760006250,-0.36400,0.00
-0.64752006250,-0.36400,0.00
-0.64744006250,-0.36400,0.00
-0.64736000000,-0.36400,0.00
-0.64728006250,-0.36400,0.00
-0.64720006250,-0.36800,0.00
-0.64712006250,-0.36800,0.00
-0.64704006250,-0.36400,0.00
-0.64696006250,-0.36400,0.00
-0.64688000000,-0.36400,0.00
-0.64680006250,-0.36800,0.00
-0.64672006250,-0.36400,0.00
-0.64664006250,-0.36800,0.00
-0.64656006250,-0.36800,0.00
-0.64648006250,-0.36400,0.00
-0.64640006250,-0.36800,0.00
-0.64632006250,-0.36800,0.00
-0.64624006250,-0.36800,0.00
-0.64616006250,-0.36400,0.00
-0.64608006250,-0.36400,0.00
-0.64600000000,-0.36800,0.00
-0.64592006250,-0.37200,0.00
-0.64584006250,-0.37200,0.00
-0.64576006250,-0.36800,0.00
-0.64568006250,-0.36800,0.00
-0.64560006250,-0.36800,0.00
-0.64552006250,-0.36800,0.00
-0.64544006250,-0.36800,0.00
-0.64536006250,-0.36400,0.00
-0.64528006250,-0.36800,0.00
-0.64520006250,-0.37200,-0.04000
-0.64512000000,-0.36800,0.00
-0.64504006250,-0.36800,0.00
-0.64496006250,-0.36800,0.00
-0.64488006250,-0.36400,0.00
-0.64480006250,-0.36800,0.00
-0.64472006250,-0.36400,0.00
-0.64464000000,-0.36400,0.00
-0.64456006250,-0.37200,0.04000
-0.64448006250,-0.36800,0.00
-0.64440006250,-0.36800,0.00
-0.64432006250,-0.36800,0.00
-0.64424006250,-0.36800,0.00
-0.64416006250,-0.36800,0.00
-0.64408006250,-0.36800,0.00
-0.64400006250,-0.35600,0.00
-0.64392006250,-0.37200,0.00
-0.64384006250,-0.36800,0.00
-0.64376000000,-0.36800,0.00
-0.64368006250,-0.36800,0.00
-0.64360006250,-0.36800,0.00
-0.64352006250,-0.37200,0.00
-0.64344006250,-0.36800,0.00
-0.64336000000,-0.36800,-0.04000
-0.64328000000,-0.36800,0.00
-0.64320006250,-0.36800,0.00
-0.64312006250,-0.36400,0.00
-0.64304006250,-0.36400,0.00
-0.64296006250,-0.37200,0.00
-0.64288000000,-0.36800,0.00
-0.64280006250,-0.36400,0.00
-0.64272006250,-0.36800,0.00
-0.64264006250,-0.36800,0.00
-0.64256006250,-0.36400,0.00
-0.64248000000,-0.36800,0.00
-0.64240000000,-0.36800,0.00
-0.64232006250,-0.36800,0.00
-0.64224006250,-0.36800,0.00
-0.64216006250,-0.37200,0.00
-0.64208006250,-0.37200,0.00
-0.64200000000,-0.36800,0.00
-0.64192000000,-0.36800,0.00
-0.64184006250,-0.36800,0.00
-0.64176006250,-0.36400,0.00
-0.64168006250,-0.36800,0.00
-0.64160006250,-0.36800,0.00
-0.64152000000,-0.36400,0.00
-0.64144006250,-0.36800,0.00
-0.64136006250,-0.36400,0.00
-0.64128006250,-0.36800,0.00
-0.64120006250,-0.36800,0.00
-0.64112000000,-0.37200,0.00
-0.64104000000,-0.37200,0.00
-0.64096006250,-0.36800,0.00
-0.64088006250,-0.36400,0.00
-0.64080006250,-0.36400,0.00
-0.64072006250,-0.36800,0.00
-0.64064000000,-0.36800,0.00
-0.64056000000,-0.36800,0.00
-0.64048006250,-0.36800,0.00
-0.64040006250,-0.36800,0.00
-0.64032006250,-0.36400,0.00
-0.64024006250,-0.36400,0.00
-0.64016000000,-0.36800,0.00
